log_id,pull_id,start_time,end_time,boss_id,boss_name,kill,player_name
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Brian
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Psychodruid
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Stradivarus
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Divanance
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Acturus
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Metonymy
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Vaelyra
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Shaami
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Ayriea
cR4g7wGY2z9VWbxH,1,1142042,1640727,2092,Argus the Unmaker,False,Radiantldeal
